start,end,speaker,text
582.67,583.91,0,"Adam, won't be talking to them."
584.45,590.87,0,"May we may, we may give him like we may, if it, if it's a, for a front end engineer, that's sort of Adam's wheelhouse."
591.01,596.07,0,So we may give him a little bit of like his input.
596.98,597.27,1,Okay.
598.01,599.58,0,But yeah.
599.84,613.52,0,"So essentially when anybody's in the, anybody becomes in the final sync column, that's when we are going to start emailing them every couple of days, just giving them an idea of where we are in our current batch."
615.27,615.84,1,"Okay, perfect."
616.27,616.56,1,Yeah.
624.45,625.06,1,Somewhere.
625.17,625.74,1,I'll find it.
627.97,628.26,1,Okay.
628.26,633.06,1,"And then they move or retired and then we have, okay."
633.08,634.18,1,So possible future fits.
634.18,637.14,1,Those are just additional ones.
637.89,638.18,1,Cool.
638.24,644.52,1,So like workflow as well.
644.62,653.52,1,"So are you, are you guys, like, I know that Seren was assisting with like the EA role in terms of communication."
654.7,669.63,1,"So like before he even gets over to like the final sink, do you guys want to change anything up to, I'm actively reaching out to them saying you're on to the next round and things like that."
669.63,670.59,1,Would that be helpful?
674.27,674.83,0,Personally?
675.03,675.79,0,I don't really care.
676.49,680.83,0,"As in like, I don't mind the, the time that it takes just cuz I like everything's ized already."
681.37,690.42,0,It seems like I think the highest impact place that you could go go or that you could go in is like flagging people for me to review and hired.
690.6,693.02,0,So actually do you have access to hired right now?
694.56,695.14,1,"No, I don't."
695.34,696.26,1,I was just gonna say that.
696.69,696.98,0,Cool.
697.17,697.46,0,Nice.
698.2,698.7,0,I'm going.
699.44,701.22,1,"No, I've asked for it a few times."
702.12,703.02,0,Oh you I'm?
703.02,704.85,0,So you ask?
705.53,706.21,1,I asked Spencer.
706.87,707.49,0,Oh yeah.
707.49,707.85,0,Classic.
707.92,708.21,0,Yeah.
712.96,713.08,0,Coworker.
715.7,716.52,0,What's your last name?
717.84,718.13,1,Dean.
718.64,718.93,0,Dean.
719.03,719.45,0,Oh right.
719.83,720.05,0,OK.
720.05,720.61,0,Reviewer.
721.74,722.23,0,Awesome.
729.21,744.48,0,"Words I have this, I have, this is this concept in my head of like there're shapes people and their words, people and I'm definitely a shapes person."
746.9,747.68,1,I'm a shapes person.
748.26,748.48,1,Huh?
748.5,748.88,1,Oh gosh.
749.08,750.04,1,I gotta know more about that.
751.28,751.5,0,No.
751.57,751.86,0,Okay.
751.86,752.78,0,"Like, right."
753,755.6,0,So feel like shapes.
755.6,763.67,0,"People are like people who, when they, when they think they don't necessarily think in like words, like for me, I don't, like I only talk in words."
763.79,766.95,0,I don't like have words in my head unless I explicitly conjure them.
767.5,780.42,0,"Whereas, and like everything more or less is like visual and like, you know, when I'm like programming, for example, like I sort of think of it in like in, in, in images rather than like, rather than in words."
781.12,783.14,0,And so like there's all the transition layer.
783.69,783.98,0,Yeah.
783.98,784.74,0,Does that make sense?
785.25,785.94,1,"Yeah, totally."
786.25,786.54,1,Yeah.
788.4,788.62,1,Wow.
789.13,793.7,1,"I've actually, I've actually like thought about that ever since I was a kid, like, like I don't, I don't think like that."
793.86,799.17,1,"I, I think in, I wouldn't say like shapes, I would say like more like lines."
800.13,800.45,0,Interesting.
800.8,801.09,1,Okay.
801.39,815.43,1,"And so like certain, certain people and I, I guess it would be shapes too, because I feel like I've always told my sister, like if, if something isn't isn't is if it's like off to me, then it's not square."
815.86,816.99,1,Like it has to be square.
817.1,817.39,0,Yeah.
817.42,818.39,0,"Yeah, totally, totally."
818.57,819.98,1,In all report to make things.
822.08,822.3,1,Wow.
822.49,822.78,1,Okay.
822.98,830.74,1,"I never thought that in my life anybody would else, anybody else would understand that except my sister or like this, so yeah."
830.74,831.26,1,It's hilarious.
831.65,831.94,1,Okay.
832.37,832.86,1,Awesome.
833.2,833.62,1,I'm so glad.
834.17,837.94,0,"Very much, it'll be useful for you to know that Spencer's very much a words person."
838.09,839.14,0,He's not person.
840.08,840.37,1,Yeah.
840.67,845.08,1,"And he's probably one of, one of these shapes that goes like this."
845.58,846.84,1,It closes up in a circle.
849.68,849.88,1,Interesting.
849.88,853.24,1,"Like he knows what he's trying to get to, but he's like he takes this route."
853.95,854.88,0,"Yeah, yeah, exactly."
855.07,855.56,0,Exactly.
857.4,857.56,1,Man.
858.59,859.08,1,"Okay, cool."
859.42,865.75,1,So exactly were like what came from the higher.com?
869.38,869.67,0,Yeah.
869.78,870.07,0,Okay.
870.21,874.43,0,So the biweekly meetings are basically a check in with our account executive.
875.35,884.46,0,"I personally like I mark myself as optional on them because, or like sometimes I, sometimes I just don't attend just cuz we all decided that that's not necessarily the best use of my time."
885.44,894.72,0,"If I have explicit questions from the AE, typically I just ask or like I have the, I haven't asked yet, but I have the option of asking in, in the slack channel."
895.68,897.68,0,I believe that Spencer is going to those meetings.
898.12,903.28,0,"I don't know if there's any value that he's gotten out of them so far, but that's for him to decide."
905.26,906.08,0,That's what they're for.
906.08,912.87,0,"They're not, there's nothing like directly related to our hiring pipeline that we're like that we're, that happens during those biweekly meetings."
913.61,914.07,0,"Oh, okay."
914.54,914.83,0,Yeah.
915.29,921.19,0,"So as far as like what you could help with in the hiring process, we have these two roles set up."
921.19,925.07,0,"There's a senior backend engineer, senior friend and engineer here."
925.33,929.71,0,"So these are the roles and then, or positions."
929.81,931.34,0,And then here are the searches that we have.
931.48,940.1,0,"So right now, because we're prioritizing the backend engineer hire, I have a search filter, like a filter set, set up for backend engineers."
941.48,954.06,0,"If you could go in and, and like just flag a couple of people per day for me, you to go through, that would be great."
954.16,960.94,0,"And I can sort of go through right now and tell you, like, we can just go through a couple and you can get a, get a sense of like what I'm looking for."
962.88,966.78,0,"Or I can like write that down for you if, if you would prefer that."
968.76,969.05,1,Yeah.
969.05,969.65,1,Can we do both?
970.16,970.85,0,"Yeah, totally."
971.58,975.12,0,Would you like to write it down as I go through?
976.33,977.1,1,"Yeah, I can do that."
977.45,977.74,0,Cool.
977.91,979.51,0,Don't okay.
979.61,986.31,0,So really quickly the filters that I have set up are for the role.
986.59,991.99,0,I have a full stack engineer and backend engineer full stack basically means they can do backend and front end engineering.
993.67,1000.52,0,And it tends to be the case that full stack engineers start as backend engineers and then move to frontend or engineering rather than the other way around.
1002.46,1006.6,0,So for skills the must have for a backend engineer for us is Python.
1006.75,1016.43,0,"Just because I write like all of our backend Python, I would ideally like our, like our candidates to have experience with Java."
1018.75,1027.48,0,"Primarily Java is like the, the most important one here type script and graph QL are like a little bit less important type script and graph."
1027.58,1042.45,0,"QL are things that we use on the front end right now type script can also be used on the back end, but it doesn't really like, it doesn't matter as much to do that years of experience."
1042.46,1043.73,0,We're looking for at least two.
1045.86,1073.8,0,"I actually I'm gonna change that to four just because I feel like I've just based on the past, based on what the candidates that have been coming up, we obviously include remote first and then our preferred salary just caps at what I mean, it's just, it's just not set right now, but yeah."
1074.34,1085.21,0,"And then as far as keywords go, I just sort of reiterated a similar variant of what I wrote up here in terms of the language preferences."
1088.59,1098.56,0,"And then, then for wishlist, I tried to make it so that it would fit our company size right now or like what we project our company size to be in the near future."
1102.46,1102.75,0,Cool.
1103.09,1103.43,0,All right.
1103.97,1105.91,0,"All that said, let's go through a couple of examples."
1107.36,1107.71,1,Sorry.
1107.96,1108.31,1,Sorry.
1108.31,1108.87,1,Quick question.
1109.13,1112.66,1,So what is the pay band that we're working with?
1113.16,1113.54,0,Oh yeah.
1113.54,1113.82,0,Okay.
1113.84,1119.34,0,"So pay band is basically up to $200,000."
1120.6,1127.12,0,"The, the big gotcha."
1127.12,1134.96,0,There is that a lot of people who have a preference for early stage companies are willing to take a temporary pay cut.
1137.22,1144.4,0,"And therefore we can target people who have greater than 200 thou or who have a preference for greater than $200,000."
1144.98,1147.84,0,As long as we make it clear to them.
1147.87,1176.34,0,"Like we acknowledge that, Hey, like we understand that this isn't where we're at right now or like this, that our offer that we define right here is like not as high as you would like it to be, but here's the reason why like, here's the compelling reason why essentially I say we have existing investors who wanna invest more money and we are raising salaries as we reach business milestones that include fundraising and revenue."
1179.38,1186.2,0,"And like, in addition to that, we also compensate in like the 90th percentile for equity."
1187.29,1190.39,0,"So, or like for, for startups at our stage."
1191.3,1191.59,1,Yeah.
1191.94,1192.23,1,Okay.
1192.23,1192.43,1,Yeah.
1192.43,1192.91,1,Makes sense.
1193.5,1193.79,0,Yeah.
1199,1199.61,0,"Okay, cool."
1199.74,1200.25,0,Let's see here.
1200.25,1202,0,"Let, go through an example."
1203.09,1203.44,0,Sorry.
1203.62,1205.32,0,Any other questions before I go?
1206.1,1206.32,1,No.
1207.11,1207.68,0,"Okay, cool."
1209.31,1209.6,0,Okay.
1210.1,1215.2,0,So this person let's see here.
1215.58,1224.43,0,"She just scrolling through like in the nice to have is that she's like down for a wide variety of, or a wide band of like company types."
1224.49,1227.19,0,That's nice industry.
1227.43,1230.43,0,I don't care as much about in terms of like previous background.
1231.11,1233.39,0,I do care about the specific companies that they work at.
1233.69,1248.56,0,"So specifically, like it's interesting to me to know whether they're like whether they were in a supporting role as a developer, they were building tools for other developers or they were building applications for like the, the customers of the business."
1249.4,1256.16,0,Just because there tend to be two types of engineers you call like roughly they're called like platform engineers versus like product engineers.
1257.06,1262.12,0,"We want to, like, we want to bias heavily towards product engineers, just cuz that's what they're going to be doing."
1262.18,1268.03,0,And we don't really have like the scaling concerns that require like a platform engineer at this point.
1268.86,1269.15,0,Okay.
1270.58,1276.59,0,"Primary areas of expertise looks like Java Python and JavaScript, which, which are everything that we're looking for."
1277.17,1277.99,0,That's fantastic.
1281.06,1319.48,0,"And let's see here looking at this, What is, oh man, sorry."
1319.66,1321.96,0,"I'm like, this is like a, this seems good to me."
1322.18,1327.84,0,I'm trying to figure out why it seems good to me or like I'm trying to put words to it.
1328.27,1328.56,0,Okay.
1338.58,1349.91,0,"She seems like a good developer because one she's able to work like across like across different frameworks and languages, which indicates like she's just using a tool to solve a problem."
1351.08,1373.57,0,"She's also like she's also worked on teams or sorry, she's worked in the context of like of not just like building things as an engineer, but also like had to like had to manage people or like had to, you know, had to basically like interact with other people, which like is a big, like is a big part of software engineering, right?"
1373.57,1383.39,0,Like basically understanding what you're coding and Yeah.
1383.57,1388.9,0,"And I mean, I think the biggest one, like she, she has, she has like the language compatibility that we want."
1389.28,1397.34,0,"So in this case I would go to a short list and I would tick her off in senior backer engineer, which I seem to have already done."
1398.69,1400.18,0,Have I already done that for a lot of people?
1400.45,1400.98,0,"Yeah, I have."
1401.09,1401.38,0,Okay.
1401.4,1402.98,0,Let me just go way down this list.
1408.74,1409.41,0,Let's see here.
1419.07,1420.04,0,Does it show me where?
1420.1,1420.52,0,Oh yeah.
1420.52,1421.08,0,"Okay, cool."
1421.3,1426.71,0,It does show me where People are shortlisted.
1427.14,1427.43,0,Okay.
1434.37,1436.35,0,An example of like a really bad profile.
1436.65,1439.43,0,"So one she's asking her $300,000 a year."
1439.7,1451.3,0,"There's like not really a reason why, or like it doesn't really demo like her profile doesn't really demonstrate why she uses, like she has extreme, extremely limited information about what she did."
1452.05,1456.42,0,Like a lot of it doesn't really like doesn't really go into specifics.
1456.64,1463.9,0,"One of the big things, like one of the big bullshit tests for engineers is like, whether they can talk about things in very, very specific language."
1465.53,1470.23,0,"Because like, I mean, I it's kind of self demonstrative actually."
1470.74,1471.03,0,Yeah.
1471.43,1472.55,0,I don't really need to explain that.
1473.18,1473.47,0,Yeah.
1475.26,1475.55,0,Yeah.
1476.02,1485.31,0,"This was like an instant, like not just like, oh, I'm gonna go, like I'm gonna go away for, or like I'm this is a no for me, but like actively I would avoid this person, you know?"
1487.62,1487.91,1,Yeah.
1487.97,1489.35,1,So we would probably hide her.
1491,1491.22,0,Yes.
1491.27,1491.62,0,Great.
1492.02,1494.06,0,Actually that didn't even look at again.
1494.42,1495.82,0,"I just words, words."
1504.87,1505.16,0,Okay.
1505.19,1505.48,0,Yeah.
1505.48,1506.44,0,Let's go through this one.
1509.17,1513.58,0,Must have remote first that seems compatible this person.
1513.69,1515.65,0,"Like, let's see here."
1516.28,1518.49,0,They have the requisite languages that we're looking for.
1520.35,1536.8,0,"One of the interesting things for me is like, they're they founded a company in my, like in my experience, people who have been founders in the past and who are looking for engineering roles right now are like really good candidates because they're, they tend to be generalists."
1536.8,1541.52,0,"They tend to be like, be able to be independent and they tend to have like, they tend to give a shit."
1542.99,1543.28,0,Yeah.
1543.58,1546.24,0,"You know, like they're it, it's highly demonstrative of that."
1546.24,1553.76,0,"Like somebody is doing their work because they want, you know, there's some sort of larger framework in which they're doing it."
1553.76,1555.08,0,That's not just like making money.
1558.43,1558.72,0,Yeah.
1559.34,1561.88,0,"So this would be a, this would be a yes for me."
1564.88,1565.55,0,Let's see here.
1574.31,1574.6,2,Cool.
1579.63,1580.17,0,"Oh, weird."
1580.4,1581.21,0,"Wait, hold on."
1595.74,1596.35,2,Charlotte?
1598.12,1598.62,0,"Yes, she is."
1598.62,1599.14,0,"Okay, great."
1599.25,1599.54,0,Wait.
1603.06,1605,0,"Oh wait, Ugh."
1605.33,1605.68,0,Sorry.
1606.2,1608.32,0,"I just, this is also a new platform to me."
1615.04,1617.33,0,"I'll figure out where those hidden, hidden people are."
1623.44,1623.73,0,Okay.
1625.04,1626.13,0,I'll just go through one more.
1626.15,1629.64,0,"If you have specific questions after that, let me know."
1630.35,1630.64,1,Okay.
1632.69,1633.36,0,Let's see here.
1639.43,1642.6,0,"This is like a, okay."
1642.6,1648.52,0,"So one thing that, one thing that strikes me is like it, she doesn't have like preferences explicitly set up."
1649.34,1656.27,0,"And for me, that sort of indicates like, it feels like she's going to be more of like a scenario rather than a missionary."
1658.22,1675.43,0,"Like if she doesn't have opinions on where, or like, if she's not displaying opinions about where she wants to work, like that's sort of a red flag for me, sort of the same thing here as the previous one, like just not a lot of description into like what she was doing."
1675.46,1677.26,0,"Granted, she's been there for nine months."
1677.31,1678.22,0,Maybe that's fine.
1679.68,1680.46,0,"Oh, well."
1680.96,1685.5,0,"And she was here for longer and she's like very specific about what she built, like what she built."
1686.08,1686.66,0,That's good.
1688.48,1692.46,0,She has a computer science background and she has like the requisite languages that we have.
1692.52,1694.18,0,And she's been a software engineer for a while.
1694.4,1696.34,0,So that would be a yes for me.
1699.44,1699.73,1,Cool.
1699.96,1701.73,1,What do you mean by languages?
1702.55,1703.85,0,"Oh, Java and Python."
1704.11,1705.69,0,So primary area of expertise.
1705.87,1708.81,0,"She, this has a, there's a list of like all the things that she's good at."
1710.02,1710.3,0,Okay.
1710.3,1712.7,0,And you see how Java and Python are highlighted.
1712.72,1716.06,0,"It means that they match the search that, that we got her through."
1716.77,1717.06,1,Okay.
1717.33,1717.62,1,Yeah.
1719.97,1720.56,2,Makes sense.
1721.75,1722.04,1,Cool.
1722.59,1726.44,0,"Cool questions, comments, concerns."
1727.78,1728.92,1,"No, I think I got it."
1730.25,1730.6,1,Sweet.
1731.12,1740.71,1,"I will definitely be on the look at, in the calendar for, For interviews with Spencer."
1741.48,1741.83,1,Sweet.
1742.45,1747.31,1,"And then I'll be, I'll be assisting him, supporting him, making sure that they get over to you."
1748.26,1752.43,1,"What did, what did they say a decision need needed to be made within six hours or so?"
1754.46,1754.75,0,Yeah.
1755.9,1756.19,1,Okay.
1763.5,1775.64,0,"The outcome that I care about is that one we're running a really tight process internally for hiring, because respond like the faster we go, the more likely it is that we're gonna close."
1775.82,1777.6,0,"So that's number one, number two."
1777.67,1786.24,0,"There's just, it's just very easy to get a red reputation for like being a shitty company as far as hiring goes and like your reputation."
1786.31,1788.88,0,"It's like a really hard thing to, to recover from."
1789.12,1798.36,0,"I mean like reputation in general, just as an example, like no, like Stripe right now is kind of a shit show and it's because they can't hire any middle managers."
1798.36,1805.59,0,And it's because like they've gained a reputation for like having like basically ghosting middle managers entirely.
1805.59,1807.19,0,And this is like a hundred billion company.
1808.49,1815.15,0,"That's like, you know, a Silicon valley darling, and nobody wants to touch it with like a 10 foot pole, 10 foot, 10 foot pole."
1815.73,1818.97,0,"So yeah, we don't want to be striped that way."
1819.15,1824.36,0,"We don't want our, we don't want build better, become a bad word for, you know, potential candidates."
1825.91,1826.2,0,Yeah.
1827.5,1846.43,0,"And so what that means is like either, so like if you, if it's a yes, then like ideally as soon as possible after the, after the call, we like send them a follow up email, basically introduce CCing me and saying like, nickel will do the text screen."
1846.97,1850.39,0,"And then I respond immediately after that saying like, here's my call."
1853.47,1853.76,0,Okay.
1853.9,1858.44,0,"If there are no, then like there should be an immediate se like an immediate rejection letter."
1859.87,1860.16,1,Okay.
1863.17,1863.67,0,Is yeah.
1863.7,1865.55,0,It's in the email templates.
1865.55,1866.11,0,Google doc.
1866.25,1867.23,0,Do you have access to that?
1867.33,1868.07,0,Do you know where that is?
1870.52,1871.3,1,Google doc.
1872.61,1873.06,0,Hold on.
1876.04,1878.44,0,"Let me, oh, fuck."
1878.44,1879.04,0,Where it go.
1880.95,1881.33,0,Oh wow.
1881.47,1882.29,0,Not just crashed.
1882.29,1882.81,0,That's hilarious.
1882.98,1883.33,0,Right.
1891.02,1895.54,1,I just pulled up an email templates hiring.
1897.24,1902.41,1,"Let's see, first, second, third interview."
1904.2,1906.3,0,"Oh yeah, this is yeah, exactly it."
1906.3,1906.54,0,Yeah.
1906.76,1909.22,0,So I got there's at the end.
1909.68,1922.31,0,So year there are two email templates And It depends on what stage we're at which one you use.
1922.31,1923.51,0,It depends on what stage you're at.
1927.85,1928.07,1,OK.
1928.07,1931.23,0,"Basically, if they get to me, then I'll use a later stage rejection."
1931.77,1936.07,0,"But if they, if it's just Spencer, then feel free to feel free to do that."
1936.16,1936.7,0,The first one.
1937.53,1937.82,1,Okay.
1938.29,1938.58,1,Yeah.
1938.64,1952.98,1,"And would it be beneficial to, instead of saying, you know, I'll let schedule the call with you, would it just be beneficial to send your over immediately?"
1953.25,1953.86,0,That would be great.
1953.86,1954.14,0,Yeah.
1954.65,1954.94,1,Okay.
1968.35,1971.32,0,I'll let Nick hill share next steps for scheduling a next call.
1971.82,1991.69,0,"So let's say, And that gets Pasted go."
1992.92,1993.41,1,Perfect.
1994.04,1994.33,0,Yeah.
1996.63,1997.12,1,Awesome.
1999.33,1999.97,1,I think that's it.
2000.05,2002.13,1,I think that's everything I needed to know.
2002.7,2003.05,1,Sweet.
2006.89,2014.44,1,"So Allison Craig was the, was the, no, I feel like there was a guy named Jefferson or something."
2014.95,2015.24,0,Yeah.
2015.24,2016.16,0,"Jefferson, Kuwait."
2016.26,2020,0,So he got passed along to me and he hasn't yet scheduled.
2020.2,2035.46,0,"I don't believe, let me Has not Scheduled a call."
2036.61,2040.64,0,There's another one that has here.
2040.7,2051.27,0,I'm just gonna CC you on these Two.
2059.38,2066.74,0,And the other one was Shit.
2071.28,2071.87,0,There you go.
2077.83,2078.12,0,Yeah.
2078.12,2097.41,0,"So ideally when Spencer first, like when, when a call is scheduled for, with Spencer, we add them to the applicant tracker just cuz we, we also want to, we also want to Keep track of like who we rejected and so that we can like send them a rejection email."
2099.2,2099.42,1,OK.
2099.89,2100.18,0,Yeah.
2102.23,2102.58,1,Sorry.
2102.66,2104.5,1,I wasn't looking at what you were doing just now.
2106.96,2107.3,0,Oh no.
2107.34,2108.7,0,I was just forwarding them to you.
2109.86,2109.98,1,Okay.
2110.33,2110.81,1,I can add that.
2111.44,2111.73,0,Yeah.
2111.73,2112.57,0,I can add those right now.
2113.39,2113.97,1,"No, it's okay."
2114.05,2115.21,1,"I can, I can do that."
2115.25,2118.17,1,I was just Page.
2120.08,2120.37,1,Okay.
2126.33,2131.81,1,Oh and then the people from where are you on that?
2133.49,2133.84,0,Sorry.
2136.51,2138.92,1,S just let go.
2140.3,2144,0,Oh yeah.
2144.12,2146.84,0,"I haven't really done any, I haven't really done anything there."
2147.12,2148,0,"I, okay."
2148.11,2153.52,0,"Spencer sort of, I, it wasn't very clear like what, like who the AOR was at on that."
2154.08,2160.39,0,"I assume that Spencer was doing it just cuz he has a larger Twitter following on, on both that build better account as well as his personal account."
2163.02,2163.31,0,Yeah.
2163.94,2164.23,1,Okay.
2164.55,2170.43,1,"I can sync with him on that and then get back to you and see if we're gonna, gonna continue that path."
2170.58,2170.87,1,Yeah.
2171.42,2171.71,0,Cool.
2171.86,2172.15,0,Yeah.
2173.82,2174.11,0,Yeah.
2180.42,2180.71,1,Yeah.
2180.74,2181.03,1,Yeah.
2181.03,2181.99,1,I was excited for that.
2182.46,2182.75,0,Yeah.
2185.05,2187.47,1,I'm gonna just add that to my notes for fast.
2188.09,2190.49,1,So Spencer.
2198.27,2198.56,1,Okay.
2202.8,2203.14,1,All right.
2203.14,2203.34,1,Yeah.
2203.61,2206.66,1,I'll go ahead and add those other two.
2210.45,2210.74,1,Okay.
2211.95,2221.58,1,And so we're using hired.com we're syncing on fast and just getting leads from anywhere else that comes in.
2222.25,2222.54,0,Yeah.
2223.25,2223.54,1,Okay.
2224.8,2225.3,0,"Oh, okay."
2225.32,2253.68,0,"And then I guess there's also, I guess this doesn't really involve you, you, but it's worth, just worth just mentioning if I, I'm also trying to reach out to people in my own network personally, when I do that, I'm not, I'm sort of skipping over Spencer as the, like, as doing the culture fit just because like I know them and I, I have like pretty high confidence that I would be able to work with them for those edits."
